이름,비고,저자,파일과 미디어,출판사,문해력 수준,분야,상태,시작,완료,연,월,읽은 기간,읽은 일수,평점,한 줄 평,회독수,읽은 사람,이번 년도에 읽을 책,등록여부,출판일
"내 멋대로 산타 뽑기. 3, 스노 박스 특급 작전",내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%89%E1%85%A1%E1%86%AB%E1%84%90%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5._3_%E1%84%89%E1%85%B3%E1%84%82%E1%85%A9_%E1%84%87%E1%85%A1%E1%86%A8%E1%84%89%E1%85%B3_%E1%84%90%E1%85%B3%E1%86%A8%E1%84%80%E1%85%B3%E1%86%B8_%E1%84%8C%E1%85%A1%E1%86%A8%E1%84%8C%E1%85%A5%E1%86%AB.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
"내 멋대로 산타 뽑기 . 2 , 선물 대소동",내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%89%E1%85%A1%E1%86%AB%E1%84%90%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5_._2__%E1%84%89%E1%85%A5%E1%86%AB%E1%84%86%E1%85%AE%E1%86%AF_%E1%84%83%E1%85%A2%E1%84%89%E1%85%A9%E1%84%83%E1%85%A9%E1%86%BC.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 반려동물 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%87%E1%85%A1%E1%86%AB%E1%84%85%E1%85%A7%E1%84%83%E1%85%A9%E1%86%BC%E1%84%86%E1%85%AE%E1%86%AF_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 초능력 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%8E%E1%85%A9%E1%84%82%E1%85%B3%E1%86%BC%E1%84%85%E1%85%A7%E1%86%A8_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 장래 희망 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%85%E1%85%A2_%E1%84%92%E1%85%B4%E1%84%86%E1%85%A1%E1%86%BC_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 행운 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%92%E1%85%A2%E1%86%BC%E1%84%8B%E1%85%AE%E1%86%AB_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 동생 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A2%E1%86%BC_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5_.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 날짜 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%82%E1%85%A1%E1%86%AF%E1%84%8D%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 급식 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%80%E1%85%B3%E1%86%B8%E1%84%89%E1%85%B5%E1%86%A8_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 나 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%82%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 산타 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%89%E1%85%A1%E1%86%AB%E1%84%90%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
내 멋대로 아빠 뽑기,내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%8B%E1%85%A1%E1%84%88%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
,,,,,,,,,,,,,,,,,,No,No,
